subname,scorer,session,session_raw,interval_idx,anchor_event,t_start_s,t_end_s,t_mid_min,irt_s,irt_error_s,irt_abs_error_s,irt_ratio,press_duration_s,valid,exclusion,irt_roll,cv_roll_pct,t_exp_s,t_exp_min
TT001,Phi,Nap1,Session 4,1,Response,36.4626,70.5442,0.8917,34.0816,4.0816,4.0816,1.1361,0.8029,True,,,,1199.6434,19.9941
TT001,Phi,Nap1,Session 4,2,Response,70.5442,108.2023,1.4896,37.6581,7.6581,7.6581,1.2553,0.8253,True,,35.8698,7.05,1235.5133,20.5919
TT001,Phi,Nap1,Session 4,3,Response,108.2023,148.3807,2.1382,40.1784,10.1784,10.1784,1.3393,0.8922,True,,37.306,8.212,1274.4315,21.2405
TT001,Phi,Nap1,Session 4,4,Response,148.3807,185.4366,2.7818,37.0559,7.0559,7.0559,1.2352,0.9145,True,,37.2435,6.725,1313.0487,21.8841
TT001,Phi,Nap1,Session 4,5,Response,185.4366,218.8346,3.3689,33.398,3.398,3.398,1.1133,0.8476,True,,36.4744,7.589,1348.2756,22.4713
TT001,Phi,Nap1,Session 4,6,Response,218.8346,258.8045,3.9803,39.9699,9.9699,9.9699,1.3323,0.9368,True,,37.6521,7.299,1384.9596,23.0827
TT001,Phi,Nap1,Session 4,7,Response,258.8045,298.5369,4.6445,39.7324,9.7324,9.7324,1.3244,0.9368,True,,38.0669,7.622,1424.8107,23.7468
TT001,Phi,Nap1,Session 4,8,Response,298.5369,338.6707,5.3101,40.1338,10.1338,10.1338,1.3378,1.0483,True,,38.058,7.603,1464.7438,24.4124
TT001,Phi,Nap1,Session 4,9,Response,338.6707,372.9832,5.9304,34.3125,4.3125,4.3125,1.1438,0.9591,True,,37.5093,8.943,1501.967,25.0328
TT001,Phi,Nap1,Session 4,10,Response,372.9832,410.0312,6.5251,37.048,7.048,7.048,1.2349,1.026,True,,38.2393,6.623,1537.6472,25.6275
TT001,Phi,Nap1,Session 4,11,Response,410.0312,453.2954,7.1944,43.2642,13.2642,13.2642,1.4421,0.9145,True,,38.8982,8.693,1577.8033,26.2967
TT001,Phi,Nap1,Session 4,12,Response,453.2954,481.6449,7.7912,28.3495,-1.6505,1.6505,0.945,0.8922,True,,36.6216,15.591,1613.6102,26.8935
TT001,Phi,Nap1,Session 4,13,Response,481.6449,519.0276,8.3389,37.3827,7.3827,7.3827,1.2461,0.9591,True,,36.0714,15.002,1646.4763,27.4413
TT001,Phi,Nap1,Session 4,14,Response,519.0276,551.6895,8.9226,32.6619,2.6619,2.6619,1.0887,1.0037,True,,35.7413,15.648,1681.4986,28.025
TT001,Phi,Nap1,Session 4,15,Response,551.6895,586.5072,9.485,34.8177,4.8177,4.8177,1.1606,0.9145,True,,35.2952,15.728,1715.2384,28.5873
TT001,Phi,Nap1,Session 4,16,Response,586.5072,641.5256,10.2336,55.0184,25.0184,25.0184,1.8339,1.0706,True,,37.646,27.256,1760.1564,29.3359
TT001,Phi,Nap1,Session 4,17,Response,641.5256,677.3994,10.991,35.8738,5.8738,5.8738,1.1958,0.8476,True,,39.1509,23.077,1805.6025,30.0934
TT001,Phi,Nap1,Session 4,18,Response,677.3994,700.7528,11.4846,23.3534,-6.6466,6.6466,0.7784,0.736,True,,36.345,31.778,1835.2161,30.5869
TT001,Phi,Nap1,Session 4,19,Response,700.7528,738.3216,11.9923,37.5688,7.5688,7.5688,1.2523,0.8476,True,,37.3264,30.449,1865.6772,31.0946
TT001,Phi,Nap1,Session 4,20,Response,738.3216,778.8937,12.6435,40.5721,10.5721,10.5721,1.3524,0.6914,True,,38.4773,29.47,1904.7476,31.7458
TT001,Phi,Nap1,Session 4,21,Response,778.8937,790.7974,13.0808,11.9037,-18.0963,18.0963,0.3968,0.736,True,,29.8544,40.164,1930.9856,32.1831
TT001,Phi,Nap1,Session 4,22,Response,790.7974,829.0722,13.4989,38.2748,8.2748,8.2748,1.2758,0.8029,True,,30.3346,40.664,1956.0748,32.6012
TT001,Phi,Nap1,Session 4,23,Response,829.0722,871.9349,14.1751,42.8627,12.8627,12.8627,1.4288,0.8922,True,,34.2364,36.967,1996.6436,33.2774
TT001,Phi,Nap1,Session 4,24,Response,871.9349,911.0873,14.8585,39.1524,9.1524,9.1524,1.3051,0.8699,True,,34.5531,36.985,2037.6511,33.9609
TT001,Phi,Nap1,Session 4,25,Response,911.0873,955.0574,15.5512,43.9701,13.9701,13.9701,1.4657,0.8699,True,,35.2327,37.638,2079.2124,34.6535
TT001,Phi,Nap1,Session 4,26,Response,955.0574,1003.4962,16.3213,48.4388,18.4388,18.4388,1.6146,0.8922,True,,42.5398,9.593,2125.4168,35.4236
TT001,Phi,Nap1,Session 4,27,Response,1003.4962,1047.1986,17.0891,43.7024,13.7024,13.7024,1.4567,0.8476,True,,43.6253,7.592,2171.4874,36.1915
TT001,Phi,Nap1,Session 4,28,Response,1047.1986,1090.5966,17.815,43.398,13.398,13.398,1.4466,0.8476,True,,43.7323,7.523,2215.0376,36.9173
TT001,Phi,Nap1,Session 4,29,Response,1090.5966,1172.6486,18.8604,82.052,52.052,52.052,2.7351,0.9145,True,,52.3123,32.025,2277.7626,37.9627
TT001,Phi,Nap1,Session 4,30,Response,1172.6486,1207.4886,19.8345,34.84,4.84,4.84,1.1613,0.8029,True,,50.4862,36.276,2336.2086,38.9368
TT001,Phi,Nap1,Session 4,31,Response,1207.4886,1243.8084,20.4275,36.3198,6.3198,6.3198,1.2107,0.8029,True,,48.0624,40.409,2371.7885,39.5298
TT001,Phi,Nap1,Session 4,32,Response,1243.8084,1279.4145,21.0269,35.6061,5.6061,5.6061,1.1869,0.8476,True,,46.4432,43.489,2407.7514,40.1292
TT001,Phi,Nap1,Session 4,33,Response,1279.4145,1314.5444,21.6163,35.1299,5.1299,5.1299,1.171,0.8253,True,,44.7896,46.524,2443.1194,40.7187
TT001,Phi,Nap1,Session 4,34,Response,1314.5444,1349.7491,22.2024,35.2047,5.2047,5.2047,1.1735,0.736,True,,35.4201,1.616,2478.2868,41.3048
TT001,Phi,Nap1,Session 4,35,Response,1349.7491,1383.6339,22.7782,33.8848,3.8848,3.8848,1.1295,1.4498,True,,35.2291,2.519,2512.8315,41.8805
TT001,Phi,Nap1,Session 4,36,Response,1383.6339,1435.3736,23.4917,51.7397,21.7397,21.7397,1.7247,0.8029,True,,38.313,19.663,2555.6438,42.5941
TT001,Phi,Nap1,Session 4,37,Response,1435.3736,1475.3736,24.2562,40.0,10.0,10.0,1.3333,0.8476,True,,39.1918,18.865,2601.5136,43.3586
TT001,Phi,Nap1,Session 4,38,Response,1475.3736,1510.9496,24.886,35.576,5.576,5.576,1.1859,0.7806,True,,39.281,18.673,2639.3016,43.9884
