subname,hand_response,session,event,source,channel,side,onset_s,onset_min,time_in_session_s,wall_time,onset_absolute,duration_s,delta_since_last_RR,irt,irt_roll,cv_irt_roll,streak_response,streak_reset,is_mirror,scorer,scored_at
TT001,L,pre-session,Response,manual,Right Ring+Pinky,right,1258.4665,20.9744,1258.4665,2026-07-03 14:29:53.716,1258.4665,1.7418,,,,,1.0,0.0,False,Ilo,2026-09-03 16:28:45
TT001,L,pre-session,Response,manual,Right Thumb,right,1258.4665,20.9744,1258.4665,2026-07-03 14:29:53.716,1258.4665,1.7418,,,,,,,True,Ilo,2026-09-03 16:28:45
TT001,L,pre-session,Response,manual,Right Ring+Pinky,right,1279.7575,21.3293,1279.7575,2026-07-03 14:30:15.007,1279.7575,0.9051,21.291,21.291,,,2.0,0.0,False,Ilo,2026-09-03 16:28:31
TT001,L,pre-session,Response,manual,Right Thumb,right,1279.7575,21.3293,1279.7575,2026-07-03 14:30:15.007,1279.7575,0.9051,,,,,,,True,Ilo,2026-09-03 16:28:31
TT001,L,pre-session,Reset,manual,Left Index+Middle,left,1282.4214,21.3737,1282.4214,2026-07-03 14:30:17.671,1282.4214,1.0417,,,,,,,True,Ilo,2026-09-03 16:28:37
TT001,L,pre-session,Reset,manual,Left Ring+Pinky,left,1282.4214,21.3737,1282.4214,2026-07-03 14:30:17.671,1282.4214,1.0417,,,,,,,True,Ilo,2026-09-03 16:28:37
TT001,L,pre-session,Reset,manual,Left Thumb,left,1282.4214,21.3737,1282.4214,2026-07-03 14:30:17.671,1282.4214,1.0417,2.6639,,,,0.0,1.0,False,Ilo,2026-09-03 16:28:37
TT001,L,Session 1,Start Session 1,trigger,,,1309.934,21.8322,0.0,2026-07-03 14:30:45.184,1309.934,,,,,,,,False,,
TT001,L,Session 1,No Rep Probe,trigger,,,1310.366,21.8394,0.432,2026-07-03 14:30:45.616,1310.366,,,,,,,,False,,
TT001,L,Session 1,Sched Probe,trigger,,,1310.798,21.8466,0.864,2026-07-03 14:30:46.048,1310.798,,,,,,,,False,,
TT001,L,Session 1,Manual Probe,trigger,,,1311.228,21.8538,1.294,2026-07-03 14:30:46.478,1311.228,,,,,,,,False,,
TT001,L,Session 1,End Probe,trigger,,,1311.66,21.861,1.726,2026-07-03 14:30:46.910,1311.66,,,,,,,,False,,
TT001,L,Session 1,End Session 1,trigger,,,1312.092,21.8682,2.158,2026-07-03 14:30:47.342,1312.092,,,,,,,,False,,
TT001,L,Session 1,Break,trigger,,,1312.524,21.8754,2.59,2026-07-03 14:30:47.774,1312.524,,,,,,,,False,,
TT001,L,Session 1,EndBreak,trigger,,,1312.952,21.8825,3.018,2026-07-03 14:30:48.202,1312.952,,,,,,,,False,,
TT001,L,Session 1,Correct/Undo,trigger,,,1313.38,21.8897,3.446,2026-07-03 14:30:48.630,1313.38,,,,,,,,False,,
TT001,L,Session 1,trigger resp BTN,trigger,,,1313.814,21.8969,3.88,2026-07-03 14:30:49.064,1313.814,,,,,,,,False,,
TT001,L,Session 1,trigger reset BTN,trigger,,,1314.254,21.9042,4.32,2026-07-03 14:30:49.504,1314.254,,,,,,,,False,,
TT001,L,Session 1,Rep Probe,trigger,,,1314.718,21.912,4.784,2026-07-03 14:30:49.968,1314.718,,,,,,,,False,,
TT001,L,Session 1,Reset Probe,trigger,,,1315.158,21.9193,5.224,2026-07-03 14:30:50.408,1315.158,,,,,,,,False,,
