subject,hand_response,session,event,channel,onset_s,offset_s,duration_s,time_since_last_event
TT001,L,pre-session,Reset,Left Ring+Pinky,812.728,812.948,0.22,
TT001,L,pre-session,Reset,Left Ring+Pinky,1104.516,1105.532,1.016,291.788
TT001,L,pre-session,Response,Right Ring+Pinky,1181.64,1181.942,0.302,77.124
TT001,L,pre-session,Reset,Left Ring+Pinky,1189.284,1192.376,3.092,7.644
TT001,L,pre-session,Response,Right Ring+Pinky,1192.358,1193.086,0.728,3.074
TT001,L,pre-session,Reset,Left Ring+Pinky,1195.272,1195.848,0.576,2.914
TT001,L,pre-session,Response,Right Ring+Pinky,1197.642,1199.084,1.442,2.37
TT001,L,pre-session,Reset,Left Ring+Pinky,1211.442,1212.02,0.578,13.8
TT001,L,pre-session,Reset,Left Ring+Pinky,1229.18,1235.166,5.986,17.738
TT001,L,pre-session,Response,Right Ring+Pinky,1258.594,1260.14,1.546,29.414
TT001,L,pre-session,Reset,Left Ring+Pinky,1274.346,1275.96,1.614,15.752
TT001,L,pre-session,Response,Right Ring+Pinky,1275.52,1275.96,0.44,1.174
TT001,L,pre-session,Response,Right Ring+Pinky,1279.802,1280.626,0.824,4.282
TT001,L,pre-session,Reset,Left Ring+Pinky,1282.476,1283.392,0.916,2.674
TT001,L,Session 2,Response,Right Ring+Pinky,1331.056,1331.846,0.79,48.58
TT001,L,Session 3,Response,Right Ring+Pinky,1648.13,1648.886,0.756,317.074
TT001,L,Session 3,Response,Right Ring+Pinky,1683.592,1684.648,1.056,35.462
TT001,L,Session 3,Response,Right Ring+Pinky,1717.698,1718.834,1.136,34.106
TT001,L,Session 3,Response,Right Ring+Pinky,1817.608,1818.47,0.862,99.91
TT001,L,Session 3,Response,Right Ring+Pinky,1848.926,1849.84,0.914,31.318
TT001,L,Session 3,Response,Right Ring+Pinky,1882.602,1883.53,0.928,33.676
TT001,L,Session 3,Response,Right Ring+Pinky,1913.338,1914.316,0.978,30.736
TT001,L,Session 3,Response,Right Ring+Pinky,1945.674,1946.608,0.934,32.336
TT001,L,Session 3,Response,Right Ring+Pinky,1979.678,1980.666,0.988,34.004
TT001,L,Session 3,Response,Right Ring+Pinky,2017.184,2018.204,1.02,37.506
TT001,L,Session 3,Response,Right Ring+Pinky,2051.486,2052.56,1.074,34.302
TT001,L,Session 3,Response,Right Ring+Pinky,2086.622,2087.622,1.0,35.136
TT001,L,Session 3,Reset,Left Ring+Pinky,2095.374,2096.728,1.354,8.752
TT001,L,Session 3,Response,Right Ring+Pinky,2121.47,2122.322,0.852,26.096
TT001,L,Session 3,Response,Right Ring+Pinky,2167.906,2168.91,1.004,46.436
TT001,L,Session 3,Response,Right Ring+Pinky,2201.376,2202.272,0.896,33.47
TT001,L,Session 3,Response,Right Ring+Pinky,2238.46,2240.024,1.564,37.084
TT001,L,Session 3,Response,Right Ring+Pinky,2266.97,2267.98,1.01,28.51
TT001,L,Session 3,Response,Right Ring+Pinky,2304.374,2305.492,1.118,37.404
TT001,L,Session 3,Response,Right Ring+Pinky,2347.136,2348.696,1.56,42.762
TT001,L,Session 3,Response,Right Ring+Pinky,2382.89,2383.802,0.912,35.754
TT001,L,Session 3,Response,Right Ring+Pinky,2419.602,2420.544,0.942,36.712
TT001,L,Session 3,Response,Right Ring+Pinky,2465.948,2466.988,1.04,46.346
TT001,L,Session 3,Response,Right Ring+Pinky,2507.908,2509.06,1.152,41.96
TT001,L,Session 3,Response,Right Ring+Pinky,2552.438,2553.418,0.98,44.53
TT001,L,Session 4,Response,Right Ring+Pinky,3069.596,3070.608,1.012,517.158
TT001,L,Session 4,Response,Right Ring+Pinky,3103.62,3104.596,0.976,34.024
TT001,L,Session 4,Response,Right Ring+Pinky,3141.396,3142.316,0.92,37.776
TT001,L,Session 4,Response,Right Ring+Pinky,3181.538,3182.472,0.934,40.142
TT001,L,Session 4,Response,Right Ring+Pinky,3218.656,3219.55,0.894,37.118
TT001,L,Session 4,Response,Right Ring+Pinky,3252.012,3252.9,0.888,33.356
TT001,L,Session 4,Response,Right Ring+Pinky,3292.088,3292.892,0.804,40.076
TT001,L,Session 4,Response,Right Ring+Pinky,3331.784,3332.606,0.822,39.696
TT001,L,Session 4,Response,Right Ring+Pinky,3371.988,3372.882,0.894,40.204
TT001,L,Session 4,Response,Right Ring+Pinky,3406.31,3407.098,0.788,34.322
TT001,L,Session 4,Response,Right Ring+Pinky,3443.354,3444.236,0.882,37.044
TT001,L,Session 4,Response,Right Ring+Pinky,3486.542,3487.422,0.88,43.188
TT001,L,Session 4,Response,Right Ring+Pinky,3514.904,3515.666,0.762,28.362
TT001,L,Session 4,Response,Right Ring+Pinky,3552.276,3553.162,0.886,37.372
TT001,L,Session 4,Response,Right Ring+Pinky,3585.032,3585.908,0.876,32.756
TT001,L,Session 4,Response,Right Ring+Pinky,3619.786,3620.536,0.75,34.754
TT001,L,Session 4,Response,Right Ring+Pinky,3674.99,3675.806,0.816,55.204
TT001,L,Session 4,Response,Right Ring+Pinky,3710.632,3711.442,0.81,35.642
TT001,L,Session 4,Response,Right Ring+Pinky,3733.966,3734.7,0.734,23.334
TT001,L,Session 4,Response,Right Ring+Pinky,3771.532,3772.356,0.824,37.566
TT001,L,Session 4,Response,Right Ring+Pinky,3812.084,3812.76,0.676,40.552
TT001,L,Session 4,Response,Right Ring+Pinky,3823.998,3824.688,0.69,11.914
