subject,session,event,channel,onset_s,offset_s,duration_s
TT007,pre-session,Reset,Left Index+Middle,805.962,806.158,0.196
TT007,pre-session,Reset,Left Index+Middle,811.488,812.23,0.742
TT007,pre-session,Response,Right Thumb,815.47,816.354,0.884
TT007,pre-session,Reset,Left Index+Middle,822.74,823.552,0.812
TT007,pre-session,Response,Right Thumb,822.842,823.518,0.676
TT007,pre-session,Reset,Left Index+Middle,832.602,832.842,0.24
TT007,Session 2,Response,Right Thumb,906.826,907.362,0.536
TT007,Session 2,Response,Right Thumb,917.168,917.632,0.464
TT007,Session 2,Reset,Left Index+Middle,926.24,926.784,0.544
TT007,Session 2,Response,Right Thumb,939.32,939.724,0.404
TT007,Session 2,Response,Right Thumb,949.058,949.468,0.41
TT007,Session 3,Response,Right Thumb,1172.558,1173.02,0.462
TT007,Session 3,Response,Right Thumb,1199.818,1200.31,0.492
TT007,Session 3,Response,Right Thumb,1228.99,1229.528,0.538
TT007,Session 3,Response,Right Thumb,1258.518,1259.004,0.486
TT007,Session 3,Response,Right Thumb,1290.31,1290.796,0.486
TT007,Session 3,Response,Right Thumb,1320.264,1320.7,0.436
TT007,Session 3,Response,Right Thumb,1350.83,1351.33,0.5
TT007,Session 3,Response,Right Thumb,1382.54,1383.02,0.48
TT007,Session 3,Response,Right Thumb,1411.334,1411.838,0.504
TT007,Session 3,Response,Right Thumb,1441.796,1442.258,0.462
TT007,Session 3,Response,Right Thumb,1472.008,1472.52,0.512
TT007,Session 3,Response,Right Thumb,1502.01,1502.51,0.5
TT007,Session 3,Response,Right Thumb,1530.55,1531.098,0.548
TT007,Session 3,Response,Right Thumb,1562.974,1563.486,0.512
TT007,Session 3,Response,Right Thumb,1599.682,1600.172,0.49
TT007,Session 3,Response,Right Thumb,1628.206,1628.704,0.498
TT007,Session 3,Response,Right Thumb,1658.734,1659.222,0.488
TT007,Session 3,Response,Right Thumb,1697.502,1697.952,0.45
TT007,Session 3,Response,Right Thumb,1730.564,1731.076,0.512
TT007,Session 3,Response,Right Thumb,1762.93,1763.436,0.506
TT007,Session 3,Response,Right Thumb,1792.67,1793.218,0.548
TT007,Session 3,Response,Right Thumb,1824.586,1825.08,0.494
TT007,Session 3,Response,Right Thumb,1856.754,1857.254,0.5
TT007,Session 3,Response,Right Thumb,1889.974,1890.452,0.478
TT007,Session 3,Response,Right Thumb,1921.03,1921.524,0.494
TT007,Session 3,Response,Right Thumb,1954.494,1955.038,0.544
TT007,Session 3,Response,Right Thumb,1988.558,1989.054,0.496
TT007,Session 3,Response,Right Thumb,2018.516,2019.058,0.542
TT007,Session 4,Response,Right Thumb,2340.328,2340.84,0.512
TT007,Session 4,Response,Right Thumb,2367.696,2368.266,0.57
TT007,Session 4,Response,Right Thumb,2397.224,2397.766,0.542
TT007,Session 4,Response,Right Thumb,2424.846,2425.376,0.53
TT007,Session 4,Response,Right Thumb,2454.276,2454.72,0.444
TT007,Session 4,Response,Right Thumb,2483.81,2484.29,0.48
TT007,Session 4,Reset,Left Index+Middle,2535.636,2536.184,0.548
TT007,Session 4,Response,Right Thumb,2569.592,2570.058,0.466
TT007,Session 4,Reset,Left Index+Middle,2605.246,2605.75,0.504
TT007,Session 4,Response,Right Thumb,2640.986,2641.532,0.546
TT007,Session 4,Reset,Left Index+Middle,2661.108,2661.69,0.582
TT007,Session 4,Reset,Left Index+Middle,2690.742,2691.268,0.526
TT007,Session 4,Reset,Left Index+Middle,2717.208,2717.734,0.526
TT007,Session 4,Reset,Left Index+Middle,2739.84,2740.4,0.56
TT007,Session 4,Reset,Left Index+Middle,2753.626,2754.13,0.504
TT007,Session 4,Reset,Left Index+Middle,2778.816,2779.304,0.488
TT007,Session 4,Response,Right Thumb,2807.072,2807.622,0.55
TT007,Session 4,Reset,Left Index+Middle,2829.188,2829.744,0.556
TT007,Session 4,Reset,Left Index+Middle,2855.236,2855.776,0.54
TT007,Session 4,Reset,Left Index+Middle,2869.116,2869.646,0.53
TT007,Session 4,Reset,Left Index+Middle,2905.412,2905.974,0.562
